event_date,oturum_sayisi,toplam_izleme_suresi_dk,ortalama_sure,yil,ay,hafta_gunu,gun_adi,ay_baslangic,ay_sonu,outlier_oturum_iqr,outlier_sure_iqr,outlier_oturum_z,outlier_sure_z,dow_sin,dow_cos,month_sin,month_cos,oturum_sayisi_lag1,oturum_sayisi_lag2,oturum_sayisi_lag7,oturum_sayisi_lag14,oturum_sayisi_lag28,toplam_izleme_suresi_dk_lag1,toplam_izleme_suresi_dk_lag2,toplam_izleme_suresi_dk_lag7,toplam_izleme_suresi_dk_lag14,toplam_izleme_suresi_dk_lag28,ortalama_sure_lag1,ortalama_sure_lag2,ortalama_sure_lag7,ortalama_sure_lag14,ortalama_sure_lag28,oturum_sayisi_roll7_mean,oturum_sayisi_roll7_std,oturum_sayisi_roll14_mean,oturum_sayisi_roll14_std,oturum_sayisi_roll28_mean,oturum_sayisi_roll28_std,toplam_izleme_suresi_dk_roll7_mean,toplam_izleme_suresi_dk_roll7_std,toplam_izleme_suresi_dk_roll14_mean,toplam_izleme_suresi_dk_roll14_std,toplam_izleme_suresi_dk_roll28_mean,toplam_izleme_suresi_dk_roll28_std,ortalama_sure_roll7_mean,ortalama_sure_roll7_std,ortalama_sure_roll14_mean,ortalama_sure_roll14_std,ortalama_sure_roll28_mean,ortalama_sure_roll28_std,oturum_sayisi_diff1,oturum_sayisi_diff7,toplam_izleme_suresi_dk_diff1,toplam_izleme_suresi_dk_diff7,ortalama_sure_diff1,ortalama_sure_diff7,is_weekend,is_holiday,kullanici_sayisi,month,dow
2024-08-12,352082.0,10832054.666666647,30.76571556247308,2024.0,8.0,0.0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,751682.0,1597381.0,1034387.0,,,15247456.766666677,31047616.599999897,20146461.199999973,,,20.28445109323713,19.43657561971746,19.476715387954386,,,1565169.142857143,893809.6241123215,,,,,29956355.057142925,16809182.333334584,,,,,19.26867139529736,1.0737375076492113,,,,,-399600.0,-682305.0,-4415402.100000029,-9314406.533333326,10.48126446923595,11.289000174518694,0.0,0.0,,,
2024-08-13,348594.0,10026280.666666657,28.762057484255767,2024.0,8.0,1.0,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,352082.0,751682.0,2751232.0,,,10832054.666666647,15247456.766666677,56415498.70000026,,,30.76571556247308,20.28445109323713,20.50554031793766,,,1467697.0,993035.654570704,,,,,28625725.552381027,18038858.46386389,,,,,20.881385705942883,4.487952085988643,,,,,-3488.0,-2402638.0,-805773.9999999907,-46389218.0333336,-2.003658078217313,8.256517166318108,0.0,0.0,,,
2024-08-14,1193810.0,34006987.16666669,28.4860967546483,2024.0,8.0,2.0,Wednesday,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,348594.0,352082.0,993381.0,,,10026280.666666657,10832054.666666647,19277131.98333331,,,28.762057484255767,30.76571556247308,19.405577500811177,,,1124463.0,884776.9252363371,,,,,21998694.40476194,14251593.79225049,,,,,22.060888158274047,5.370838377032098,,,,,845216.0,200429.0,23980706.50000003,14729855.183333378,-0.2759607296074655,9.080519253837124,0.0,0.0,,,
2024-08-15,384621.0,10853326.966666682,28.21823812705672,2024.0,8.0,3.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1193810.0,348594.0,2881456.0,,,34006987.16666669,10026280.666666657,50183514.133333705,,,28.4860967546483,28.762057484255767,17.41602652732983,,,1153095.7142857143,883069.356843639,,,,,24102959.430952422,14857345.140000723,,,,,23.35810519453649,5.708599591527151,,,,,-809189.0,-2496835.0,-23153660.200000003,-39330187.16666702,-0.2678586275915826,10.802211599726888,0.0,0.0,,,
2024-08-16,327092.0,9493269.583333336,29.02323989377097,2024.0,8.0,4.0,Friday,0.0,0.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,384621.0,1193810.0,946665.0,1262029.0,,10853326.966666682,34006987.16666669,17376806.01666666,19221847.233333275,,28.21823812705672,28.4860967546483,18.355813320093866,15.23090771553845,,796405.0,481593.74020641134,1264120.7857142857,789761.6795375854,,,18484361.264285702,9990171.311511433,24199932.69523812,14230881.400429986,,,24.90127828021176,5.278439902192237,20.98901059411013,5.777073173904184,,,-57529.0,-619573.0,-1360057.383333346,-7883536.433333322,0.8050017667142519,10.667426573677105,0.0,0.0,,,
2024-08-17,427272.0,10714533.566666678,25.076610605578363,2024.0,8.0,5.0,Saturday,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,327092.0,384621.0,1597381.0,1544194.0,,9493269.583333336,10853326.966666682,31047616.599999897,19096046.48333333,,29.02323989377097,28.21823812705672,19.43657561971746,12.366351950165155,,707894.5714285715,505706.2942465908,1197339.5714285714,828529.1869705677,,,17358141.77380951,10563739.833377665,23505034.29166669,14721721.373465547,,,26.42519636216563,4.565499946378889,21.9741771782696,5.894422492988637,,,100180.0,-1170109.0,1221263.9833333418,-20333083.03333322,-3.9466292881926073,5.640034985860904,1.0,0.0,,,
2024-08-18,405271.0,11146995.249999994,27.50504045441197,2024.0,8.0,6.0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,427272.0,327092.0,751682.0,1656177.0,,10714533.566666678,9493269.583333336,15247456.766666677,25068029.14999989,,25.076610605578363,29.02323989377097,20.28445109323713,15.13608095632284,,540736.1428571428,323110.526891563,1117559.4285714286,846148.5526437028,,,14453415.62619048,8824486.450102188,22906354.79761908,15080853.72497518,,,27.230915645860048,3.499912314963232,22.8820527965134,5.243679480745702,,,-22001.0,-346411.0,432461.6833333168,-4100461.5166666815,2.4284298488336056,7.220589361174838,1.0,0.0,,,
2024-08-19,371604.0,10693684.616666667,28.777097707954347,2024.0,8.0,0.0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,405271.0,427272.0,352082.0,1034387.0,,11146995.249999994,10714533.566666678,10832054.666666647,20146461.199999973,,27.50504045441197,25.076610605578363,30.76571556247308,19.476715387954386,,491248.8571428572,311745.6724321021,1028209.0,850929.4818859958,,,13867635.409523811,8898776.24343066,21911995.233333368,15383270.447831156,,,28.26242841174217,1.7257830010925566,23.76554990351976,4.866638894327318,,,-33667.0,19522.0,-453310.6333333273,-138370.04999998026,1.2720572535423784,-1.9886178545187327,0.0,0.0,,,
2024-08-20,583271.0,11604962.183333358,19.896346952502967,2024.0,8.0,1.0,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,371604.0,405271.0,348594.0,2751232.0,,10693684.616666667,11146995.249999994,10026280.666666657,56415498.70000026,,28.777097707954347,27.50504045441197,28.762057484255767,20.50554031793766,,494037.7142857143,310377.5172606827,980867.3571428572,868808.5344140611,,,13847868.259523813,8906793.192010004,21236796.905952416,15671473.372035634,,,27.97834014681092,1.372555811294372,24.429862926376902,4.870929531118851,,,211667.0,234677.0,911277.5666666906,1578681.516666701,-8.88075075545138,-8.8657105317528,0.0,0.0,,,
2024-08-21,3300734.0,83329745.45000015,25.245822732155982,2024.0,8.0,2.0,Wednesday,0.0,0.0,1.0,1.0,0.0,0.0,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,583271.0,371604.0,1193810.0,993381.0,,11604962.183333358,10693684.616666667,34006987.16666669,19277131.98333331,,19.896346952502967,28.777097707954347,28.4860967546483,19.405577500811177,,527563.0,304670.94574967364,826013.0,707157.9733579282,,,14073394.1904762,8813397.491976097,18036044.297619067,12103844.742090622,,,26.71181007084624,3.285807075521283,24.38634911456014,4.911237970891418,,,2717463.0,2106924.0,71724783.2666668,49322758.283333465,5.349475779653016,-3.2402740224923186,0.0,0.0,,,
2024-08-22,655496.0,18043675.333333302,27.526751243841765,2024.0,8.0,3.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,3300734.0,583271.0,384621.0,2881456.0,,83329745.45000015,11604962.183333358,10853326.966666682,50183514.133333705,,25.245822732155982,19.896346952502967,28.21823812705672,17.41602652732983,,828552.1428571428,1093113.0920838627,990823.9285714284,969412.8350006882,,,21119502.51666669,27439680.559184965,22611230.97380956,21255251.28934784,,,26.24891378191876,3.2218080753420986,24.80350948822763,4.699080511002058,,,-2645238.0,270875.0,-65286070.11666685,7190348.366666621,2.280928511685783,-0.691486883214953,0.0,0.0,,,
2024-08-23,256905.0,13617741.466666654,53.00691487774334,2024.0,8.0,4.0,Friday,0.0,0.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,655496.0,3300734.0,327092.0,946665.0,,18043675.333333302,83329745.45000015,9493269.583333336,17376806.01666666,,27.526751243841765,25.245822732155982,29.02323989377097,18.355813320093866,,867248.5714285715,1079488.2326364743,831826.7857142857,803881.45369271,,,22146695.140476216,27124087.987046167,20315528.202380955,19729054.023769565,,,26.15012994145948,3.16139753165239,25.525704110835623,4.229901613480846,,,-398591.0,-70187.0,-4425933.866666649,4124471.883333318,25.480163633901576,23.98367498397237,0.0,0.0,,,
