event_date,kullanici_sayisi,toplam_izleme_suresi_dk,ortalama_sure,ortalama_sure_lag1,ortalama_sure_lag7,ortalama_sure_roll7_mean,ortalama_sure_roll14_mean,ortalama_sure_roll28_mean,toplam_izleme_suresi_dk_lag1,toplam_izleme_suresi_dk_roll14_std,month,dow,month_sin,dow_sin,dow_cos
2025-08-18,347707,11906795.299999967,34.24376069506788,,,,,,,,8,0,-0.8660254037844385,0.0,1.0
2025-08-19,406028,14009735.166666644,34.50435725286592,34.24376069506788,,,,,11906795.299999967,,8,1,-0.8660254037844385,0.7818314824680298,0.6234898018587336
2025-08-20,4176147,114367927.83333226,27.38599188039412,34.50435725286592,,,,,14009735.166666644,,8,2,-0.8660254037844385,0.9749279121818236,-0.22252093395631434
2025-08-21,579999,18085305.99999989,31.181615830371936,27.38599188039412,,,,,114367927.83333226,,8,3,-0.8660254037844385,0.43388373911755823,-0.900968867902419
2025-08-22,339402,11485342.749999965,33.83993833271449,31.181615830371936,,,,,18085305.99999989,,8,4,-0.8660254037844385,-0.433883739117558,-0.9009688679024191
2025-08-23,450883,14110417.966666631,31.29507647586321,33.83993833271449,,,,,11485342.749999965,,8,5,-0.8660254037844385,-0.9749279121818236,-0.2225209339563146
2025-08-24,404266,12731379.783333289,31.492581081103253,31.29507647586321,,31.991903078340112,,,14110417.966666631,,8,6,-0.8660254037844385,-0.7818314824680299,0.6234898018587334
2025-08-25,420498,17485087.299999926,41.58185603736504,31.492581081103253,34.24376069506788,33.040202412953995,,,12731379.783333289,,8,0,-0.8660254037844385,0.0,1.0
2025-08-26,477033,15137031.349999918,31.73162307429448,41.58185603736504,34.50435725286592,32.64409753030093,,,17485087.299999926,,8,1,-0.8660254037844385,0.7818314824680298,0.6234898018587336
2025-08-27,3918541,120436120.26666372,30.73493942430709,31.73162307429448,27.38599188039412,33.122518608002785,,,15137031.349999918,,8,2,-0.8660254037844385,0.9749279121818236,-0.22252093395631434
2025-08-28,1114176,24743951.783332657,22.20829723789837,30.73493942430709,31.181615830371936,31.84061595193513,,,120436120.26666372,,8,3,-0.8660254037844385,0.43388373911755823,-0.900968867902419
2025-08-29,562963,18527612.81666649,32.910889022309625,22.20829723789837,33.83993833271449,31.707894621877298,,,24743951.783332657,,8,4,-0.8660254037844385,-0.433883739117558,-0.9009688679024191
2025-08-30,563322,14815249.399999864,26.299788398109545,32.910889022309625,31.29507647586321,30.994282039341062,,,18527612.81666649,,8,5,-0.8660254037844385,-0.9749279121818236,-0.2225209339563146
2025-08-31,458806,14004476.516666615,30.52374318702592,26.299788398109545,31.492581081103253,30.85587662590144,31.423889852120777,,14815249.399999864,37146374.43340798,8,6,-0.8660254037844385,-0.7818314824680299,0.6234898018587334
2025-09-01,560033,19799071.149999864,35.35340087101986,30.52374318702592,41.58185603736504,29.96609731642356,31.503149864688776,,14004476.516666615,36907633.86698755,9,0,-1.0,0.0,1.0
2025-09-02,385343,13706283.233333316,35.569046883771904,35.35340087101986,31.73162307429448,30.514300717777473,31.579199124039203,,19799071.149999864,36918274.529035896,9,1,-1.0,0.7818314824680298,0.6234898018587336
2025-09-03,523474,17791945.883333188,33.98821313634142,35.569046883771904,30.73493942430709,30.979054105210952,32.05078635660687,,13706283.233333316,28029547.403808694,9,2,-1.0,0.9749279121818236,-0.22252093395631434
2025-09-04,971720,22736240.599999443,23.397934178569383,33.98821313634142,22.20829723789837,31.149002239592527,31.494809095763827,,17791945.883333188,27984442.126093693,9,3,-1.0,0.43388373911755823,-0.900968867902419
2025-09-05,323449,11543757.86666664,35.68957661537565,23.397934178569383,32.910889022309625,31.545957610030523,31.626926115953914,,22736240.599999443,27982419.60443176,9,4,-1.0,-0.433883739117558,-0.9009688679024191
2025-09-06,1224359,37565815.73333443,30.682026867393,35.68957661537565,26.299788398109545,32.17199167707102,31.58313685820604,,11543757.86666664,28039642.366662584,9,5,-1.0,-0.9749279121818236,-0.2225209339563146
2025-09-07,2528212,56851785.25000307,22.4869533290733,30.682026867393,30.52374318702592,31.023878840220643,30.939877733061042,,37565815.73333443,28924796.635273796,9,6,-1.0,-0.7818314824680299,0.6234898018587334
2025-09-08,393150,13943679.366666634,35.466563313408706,22.4869533290733,35.35340087101986,31.040044903419048,30.503071109921304,,56851785.25000307,29047892.93125832,9,0,-1.0,0.0,1.0
